act,scene,type,character,text
Act 1,Scene 4,dialogue,Past,"[Pointing to his heart] Bear but a touch of my hand here
and you shall be upheld in more than this!"
Act 1,Scene 4,description,,"[Scrooge touches the spirit’s heart and the lights dissolve into
sparkly flickers. Lovely crystals of music are heard. The scene
dissolves into another. Christmas music again]"
Act 1,Scene 5,description,,"[Scrooge and the Ghost of Christmas Past walk together across
an open stage. In the background, we see a field that is open;
covered by a soft, downy snow: a country road.]"
Act 1,Scene 5,dialogue,Scrooge,"Good Heaven! I was bred in this place. I was a
boy here!"
Act 1,Scene 5,description,,"[Scrooge freezes, staring at the field beyond. Marley’s ghost
appears beside him; takes Scrooge’s face in his hands, and turns his
face to the audience.]"
Act 1,Scene 5,dialogue,Marley,"You see this Scrooge: stricken by feeling. Conscious
of a thousand odors floating in the air, each one connected
with a thousand thoughts, and hopes, and joys, and care
long, long forgotten. [Pause] This one—this Scrooge—before
your very eyes, returns to life, among the living. [To audience,
sternly] You’d best pay your most careful attention. I would
suggest rapt."
Act 1,Scene 5,description,,"[There is a small flash and puff of smoke and Marley is gone
again.]"
Act 1,Scene 5,dialogue,Past,"Your lip is trembling, Mr. Scrooge. And what is that
upon your cheek?"
Act 1,Scene 5,dialogue,Scrooge,"Upon my cheek? Nothing . . . a blemish on the skin
from the eating of overmuch grease . . . nothing . . . [Suddenly]
Kind Spirit of Christmas Past, lead me where you will, but
quickly! To be stagnant in this place is, for me, unbearable!
Past. You recollect the way?"
Act 1,Scene 5,dialogue,Scrooge,"Remember it! I would know it blindfolded! My
bridge, my church, my winding river! [Staggers about, trying
to see it all at once. He weeps again.]"
Act 1,Scene 5,dialogue,Past,"These are but shadows of things that have been. They
have no consciousness of us."
Act 1,Scene 5,description,,"[Four jocund travelers enter, singing a Christmas song in four-part
harmony—“God Rest Ye Merry Gentlemen.”]"
Act 1,Scene 5,dialogue,Scrooge,"Listen! I know these men! I remember the beauty of
their song!"
Act 1,Scene 5,dialogue,Past,"But, why do you remember it so happily? It is Merry
Christmas that they say to one another! What is Merry
Christmas to you, Mr. Scrooge? Out upon Merry Christmas,
right? What good has Merry Christmas ever done you, Mr.
Scrooge? . . ."
Act 1,Scene 5,dialogue,Scrooge,"[After a long pause] None. No good. None . . . [He
bows his head.]"
Act 1,Scene 5,dialogue,Past,"Look, you, sir, a school ahead. The schoolroom is not
quite deserted. A solitary child, neglected by his friends, is
left there still."
Act 1,Scene 5,description,,"[Scrooge falls to the ground; sobbing as he sees, and we see, a small
boy, the young Scrooge, sitting and weeping, bravely, alone at his
desk: alone in a vast space, a void.]"
Act 1,Scene 5,dialogue,Scrooge,I cannot look on him!
Act 1,Scene 5,dialogue,Past,"You must, Mr. Scrooge, you must."
Act 1,Scene 5,dialogue,Scrooge,"It’s me. [Pauses; weeps] Poor boy. He lived inside his
head . . . alone . . . [Pauses; weeps] poor boy. [Pauses; stops his
weeping] I wish . . . [Dries his eyes on his cuff] ah! it’s too late!
Past. What is the matter?"
Act 1,Scene 5,dialogue,Scrooge,"There was a boy singing a Christmas Carol outside
my door last night. I should like to have given him
something: that’s all."
Act 1,Scene 5,dialogue,Past,"[Smiles; waves his hand to Scrooge] Come. Let us see
another Christmas."
Act 1,Scene 5,description,,"[Lights out on a little boy. A flash of light. A puff of smoke. Lights
up on older boy]"
Act 1,Scene 5,dialogue,Scrooge,"Look! Me, again! Older now! [Realizes] Oh, yes . . .
still alone."
Act 1,Scene 5,description,,"[The boy—a slightly older Scrooge—sits alone in a chair, reading.
The door to the room opens and a young girl enters. She is much,
much younger than this slightly older Scrooge. She is, say, six,
and he is, say, twelve. Elder Scrooge and the Ghost of Christmas
Past stand watching the scene, unseen.]"
Act 1,Scene 5,dialogue,Fan,"Dear, dear brother, I have come to bring you home."
Act 1,Scene 5,dialogue,Boy,"Home, little Fan?"
Act 1,Scene 5,dialogue,Fan,"Yes! Home, for good and all! Father is so much kinder
than he ever used to be, and home’s like heaven! He spoke so
gently to me one dear night when I was going to bed that I
was not afraid to ask him once more if you might come
home; and he said “yes” . . . you should; and sent me in a
coach to bring you. And you’re to be a man and are never to
come back here, but first, we’re to be together all the
Christmas long, and have the merriest time in the world."
Act 1,Scene 5,dialogue,Boy,"You are quite a woman, little Fan!"
Act 1,Scene 5,description,,"[Laughing; she drags at boy, causing him to stumble to the door
with her. Suddenly we hear a mean and terrible voice in the
hallway. Off. It is the Schoolmaster.]"
Act 1,Scene 5,dialogue,Schoolmaster,"Bring down Master Scrooge’s travel box at
once! He is to travel!"
Act 1,Scene 5,dialogue,Fan,"Who is that, Ebenezer?"
Act 1,Scene 5,dialogue,Boy,"O! Quiet, Fan. It is the Schoolmaster, himself!"
Act 1,Scene 5,description,,"[The door bursts open and into the room bursts with it the
Schoolmaster.]"
Act 1,Scene 5,dialogue,Schoolmaster,Master Scrooge?
Act 1,Scene 5,dialogue,Boy,"Oh, Schoolmaster, I’d like you to meet my little sister,
Fan, sir . . ."
Act 1,Scene 5,description,,[Two boys struggle on with Scrooge’s trunk.]
Act 1,Scene 5,dialogue,Fan,"Pleased, sir . . . [She curtsies.]"
Act 1,Scene 5,dialogue,Schoolmaster,"You are to travel, Master Scrooge."
Act 1,Scene 5,dialogue,Scrooge,"Yes, sir, I know sir . . ."
Act 1,Scene 5,description,,"[All start to exit, but Fan grabs the coattail of the mean old
Schoolmaster.]"
Act 1,Scene 5,dialogue,Boy,Fan!
Act 1,Scene 5,dialogue,Schoolmaster,What’s this?
Act 1,Scene 5,dialogue,Fan,"Pardon, sir, but l believe that you’ve forgotten to say
your goodbye to my brother, Ebenezer, who stands still now
awaiting it . . . [She smiles, curtsies, lowers her eyes.] pardon, sir."
Act 1,Scene 5,dialogue,Schoolmaster,"[Amazed] I . . . uh . . . harumph . . . uhh . . .
well, then . . . [Outstretches hand] Goodbye, Scrooge."
Act 1,Scene 5,dialogue,Boy,"Uh, well, goodbye, Schoolmaster . . ."
Act 1,Scene 5,description,,"[Lights fade out on all but Boy looking at Fan; and Scrooge and
Past looking at them.]"
Act 1,Scene 5,dialogue,Scrooge,"Oh, my dear, dear little sister, Fan . . . how I
loved her."
Act 1,Scene 5,dialogue,Past,"Always a delicate creature, whom a breath might have
withered, but she had a large heart . . ."
Act 1,Scene 5,dialogue,Scrooge,So she had.
Act 1,Scene 5,dialogue,Past,"She died a woman, and had, as I think, children."
Act 1,Scene 5,dialogue,Scrooge,One child.
Act 1,Scene 5,dialogue,Past,True. Your nephew.
Act 1,Scene 5,dialogue,Scrooge,Yes.
Act 1,Scene 5,dialogue,Past,"Fine, then. We move on, Mr. Scrooge. That warehouse,
there? Do you know it?"
Act 1,Scene 5,dialogue,Scrooge,Know it? Wasn’t I apprenticed there?
Act 1,Scene 5,dialogue,Past,We’ll have a look.
Act 1,Scene 5,description,,"[They enter the warehouse. The lights crossfade with them, coming
up on an old man in Welsh wig: Fezziwig.]"
Act 1,Scene 5,dialogue,Scrooge,"Why, it’s old Fezziwig! Bless his heart; it’s
Fezziwig, alive again!"
Act 1,Scene 5,description,,"[Fezziwig sits behind a large, high desk, counting. He lays down
his pen; looks at the clock: seven bells sound.]"
Act 1,Scene 5,dialogue,Scrooge,Quittin’ time . . .
Act 1,Scene 5,dialogue,Fezziwig,"Quittin’ time . . . [He takes off his waistcoat and
laughs: calls off] Yo ho, Ebenezer! Dick!"
Act 1,Scene 5,description,,"[Dick Wilkins and Ebenezer Scrooge—a young man version—
enter the room. Dick and Ebenezer are Fezziwig’s apprentices.]"
Act 1,Scene 5,dialogue,Scrooge,"Dick Wilkins, to be sure! My fellow-’prentice! Bless
my soul, yes. There he is. He was very much attached to me,
was Dick. Poor Dick! Dear, dear!"
Act 1,Scene 5,dialogue,Fezziwig,"Yo ho, my boys. No more work tonight. Christmas
Eve, Dick. Christmas, Ebenezer!"
Act 1,Scene 5,description,,[They stand at attention in front of Fezziwig; laughing]
Act 1,Scene 5,dialogue,Fezziwig,"Hilli-ho! Clear away, and let’s have lots of room here! Hilli-
ho, Dick! Chirrup, Ebenezer!"
Act 1,Scene 5,description,,"[The young men clear the room, sweep the floor, straighten the
pictures, trim the lamps, etc. The space is clear now. A fiddler
enters, fiddling.]"
Act 1,Scene 5,dialogue,Fezziwig,"Hi-ho, Matthew! Fiddle away . . . where are my daughters?"
Act 1,Scene 5,description,,"[The fiddler plays. Three young daughters of Fezziwig enter
followed by six young adult male suitors. They are dancing to the
music. All employees come in: workers, clerks, housemaids, cousins,
the baker, etc. All dance. Full number wanted here. Throughout the
dance, food is brought into the feast. It is “eaten” in dance, by the
dancers. Ebenezer dances with all three of the daughters, as does
Dick. They compete for the daughters, happily, in the dance.
Fezziwig dances with his daughters. Fezziwig dances with Dick
and Ebenezer. The music changes: Mrs. Fezziwig enters. She
lovingly scolds her husband. They dance. She dances with
Ebenezer, lifting him and throwing him about. She is enormously
fat. When the dance is ended, they all dance off, floating away, as
does the music. Scrooge and the Ghost of Christmas Past stand
alone now. The music is gone.]"
Act 1,Scene 5,dialogue,Past,"It was a small matter, that Fezziwig made those silly
folks so full of gratitude."
Act 1,Scene 5,dialogue,Scrooge,Small!
Act 1,Scene 5,dialogue,Past,Shhh!
Act 1,Scene 5,description,,[Lights up on Dick and Ebenezer]
Act 1,Scene 5,dialogue,Dick,"We are blessed, Ebenezer, truly, to have such a master
as Mr. Fezziwig!"
Act 1,Scene 5,dialogue,Young Scrooge,"He is the best, best, the very and absolute
best! If ever I own a firm of my own, I shall treat my
apprentices with the same dignity and the same grace. We
have learned a wonderful lesson from the master, Dick!"
Act 1,Scene 5,dialogue,Dick,"Ah, that’s a fact, Ebenezer. That’s a fact!"
Act 1,Scene 5,dialogue,Past,"Was it not a small matter, really? He spent but a few
pounds of his mortal money on your small party. Three or
four pounds, perhaps. Is that so much that he deserves such
praise as you and Dick so lavish now?"
Act 1,Scene 5,dialogue,Scrooge,"It isn’t that! It isn’t that, Spirit. Fezziwig had the
power to make us happy or unhappy; to make our service
light or burdensome; a pleasure or a toil. The happiness he
gave is quite as great as if it cost him a fortune."
Act 1,Scene 5,dialogue,Past,What is the matter?
Act 1,Scene 5,dialogue,Scrooge,Nothing particular.
Act 1,Scene 5,dialogue,Past,"Something, I think."
Act 1,Scene 5,dialogue,Scrooge,"No, no. l should like to be able to say a word or two
to my clerk just now! That’s all!"
Act 1,Scene 5,description,,"[Ebenezer enters the room and shuts down all the lamps. He
stretches and yawns. The Ghost of Christmas Past turns to
Scrooge all of a sudden.]"
Act 1,Scene 5,dialogue,Past,My time grows short! Quick!
Act 1,Scene 5,description,,"[In a flash of light, Ebenezer is gone, and in his place stands an
Older Scrooge, this one a man in the prime of his life. Beside him
stands a young woman in a mourning dress. She is crying. She
speaks to the man, with hostility.]"
Act 1,Scene 5,dialogue,Woman,"It matters little . . . to you, very little. Another idol
has displaced me."
Act 1,Scene 5,dialogue,Man,What idol has displaced you?
Act 1,Scene 5,dialogue,Woman,A golden one.
Act 1,Scene 5,dialogue,Man,"This is an even-handed dealing of the world. There is
nothing on which it is so hard as poverty; and there is
nothing it professes to condemn with such severity as the
pursuit of wealth!"
Act 1,Scene 5,dialogue,Woman,"You fear the world too much. Have I not seen your
nobler aspirations fall off one by one, until the master-
passion, Gain, engrosses you? Have I not?"
Act 1,Scene 5,dialogue,Scrooge,No!
Act 1,Scene 5,dialogue,Man,"What then? Even if I have grown so much wiser, what
then? Have I changed towards you?"
Act 1,Scene 5,dialogue,Woman,No…
Act 1,Scene 5,dialogue,Man,Am I?
Act 1,Scene 5,dialogue,Woman,"Our contract is an old one. It was made when we
were both poor and content to be so. You are changed. When
it was made, you were another man."
Act 1,Scene 5,dialogue,Man,I was not another man: I was a boy.
Act 1,Scene 5,dialogue,Woman,"Your own feeling tells you that you were not what
you are. I am. That which promised happiness when we were
one in heart is fraught with misery now that we are two . . ."
Act 1,Scene 5,dialogue,Scrooge,No!
Act 1,Scene 5,dialogue,Woman,"How often and how keenly I have thought of this,
I will not say. It is enough that I have thought of it, and can
release you . . ."
Act 1,Scene 5,dialogue,Scrooge,"[Quietly] Don’t release me, madame . . ."
Act 1,Scene 5,dialogue,Man,Have I ever sought release?
Act 1,Scene 5,dialogue,Woman,In words. No. Never.
Act 1,Scene 5,dialogue,Man,In what then?
Act 1,Scene 5,dialogue,Woman,"In a changed nature: in an altered spirit. In
everything that made my love of any worth or value in your
sight. If this has never been between us, tell me, would you
seek me out and try to win me now? Ah, no!"
Act 1,Scene 5,dialogue,Scrooge,"Ah, yes!"
Act 1,Scene 5,dialogue,Man,You think not?
Act 1,Scene 5,dialogue,Woman,"I would gladly think otherwise if I could, heaven
knows! But if you were free today, tomorrow, yesterday, can
even I believe that you would choose a dowerless girl—you
who in your very confidence with her weigh everything by
Gain; or, choosing her, do I not know that your repentance
and regret would surely follow? I do; and I release you. With
a full heart, for the love of him you once were."
Act 1,Scene 5,dialogue,Scrooge,"Please, I . . . I . . ."
Act 1,Scene 5,dialogue,Man,"Please, I . . . I . . ."
Act 1,Scene 5,dialogue,Woman,"Please. You may—the memory of what is past half
makes me hope you will—have pain in this. A very, very brief
time, and you will dismiss the memory of it, as an
unprofitable dream, from which it happened well that you
awoke. May you be happy in the life that you have chosen for
yourself . . ."
Act 1,Scene 5,dialogue,Scrooge,No!
Act 1,Scene 5,dialogue,Woman,Yourself . . . alone . . .
Act 1,Scene 5,dialogue,Scrooge,No!
Act 1,Scene 5,dialogue,Woman,"Goodbye, Ebenezer . . ."
Act 1,Scene 5,dialogue,Scrooge,Don’t let her go!
Act 1,Scene 5,dialogue,Man,Goodbye.
Act 1,Scene 5,dialogue,Scrooge,No!
Act 1,Scene 5,description,,[She exits. Scrooge goes to younger man: himself.]
Act 1,Scene 5,dialogue,Scrooge,You fool! Mindless loon! You fool!
Act 1,Scene 5,dialogue,Man,[To exited woman] Fool. Mindless loon. Fool . . .
Act 1,Scene 5,dialogue,Scrooge,"Don’t say that! Spirit, remove me from this place."
Act 1,Scene 5,dialogue,Past,"I have told you these were shadows of the things that
have been. They are what they are. Do not blame me, Mr.Scrooge."
Act 1,Scene 5,dialogue,Scrooge,Remove me! I cannot bear it!
Act 1,Scene 5,description,,"[The faces of all who appeared in this scene are now projected for a
moment around the stage: enormous, flimsy, silent.]"
Act 1,Scene 5,dialogue,Scrooge,Leave me! Take me back! Haunt me no longer!
Act 1,Scene 5,description,,"[There is a sudden flash of light: a flare. The Ghost of Christmas
Past is gone. Scrooge is, for the moment, alone onstage. His bed is
turned down, across the stage. A small candle burns now in
Scrooge’s hand. There is a child’s cap in his other hand. He slowly
crosses the stage to his bed, to sleep. Marley appears behind
Scrooge, who continues his long, elderly cross to bed. Marley
speaks directly to the audience.]"
Act 1,Scene 5,dialogue,Marley,"Scrooge must sleep now. He must surrender to the
irresistible drowsiness caused by the recognition of what
was. [Pauses] The cap he carries is from ten lives past: his
boyhood cap . . . donned atop a hopeful hairy head . . .
askew, perhaps, or at a rakish angle. Doffed now in honor of
regret. Perhaps even too heavy to carry in his present state
of weak remorse . . ."
Act 1,Scene 5,description,,"[Scrooge drops the cap. He lies atop his bed. He sleeps. To
audience]"
Act 1,Scene 5,dialogue,Marley,"He sleeps. For him, there’s even more trouble ahead. [Smiles]
For you? The play house tells me there’s hot cider, as should
be your anticipation for the specter Christmas Present and
Future, for I promise you both. [Smiles again] So, I pray you
hurry back to your seats refreshed and ready for a miser—to
turn his coat of gray into a blazen Christmas holly-red. [A
flash of lightning. A clap of thunder. Bats fly. Ghosty music.
Marley is gone.] "
Act 2,Scene 1,description,,"[Lights. Choral music is sung. Curtain. Scrooge, in bed, sleeping,
in spotlight. We cannot yet see the interior of his room. Marley,
opposite, in spotlight equal to Scrooge’s. Marley laughs. He tosses
his hand in the air and a flame shoots from it, magically, into the
air. There is a thunder clap, and then another; a lightning flash, and
then another. Ghostly music plays under. Colors change. Marley’s
spotlight has gone out and now reappears, with Marley in it,
standing next to the bed and the sleeping Scrooge. Marley
addresses the audience directly.]"
Act 2,Scene 1,dialogue,Marley,"Hear this snoring Scrooge! Sleeping to escape the
nightmare that is his waking day. What shall I bring to him
now? I’m afraid nothing would astonish old Scrooge now.
Not after what he’s seen. Not a baby boy, not a rhinoceros,
nor anything in between would astonish Ebenezer Scrooge just now. l can think of nothing . . . [Suddenly] that’s it!
Nothing! [He speaks confidentially.] I’ll have the clock strike
one and, when he awakes expecting my second messenger,
there will be no one . . . nothing. Then I’ll have the bell strike
twelve. And then one again . . . and then nothing. Nothing . . .
[Laughs] nothing will . . . astonish him. I think it will work."
Act 2,Scene 1,description,,[The bell tolls one. Scrooge leaps awake.]
Act 2,Scene 1,dialogue,Scrooge,"One! One! This is it; time! [Looks about the room]
Nothing!"
Act 2,Scene 1,description,,[The bell tolls midnight.]
Act 2,Scene 1,dialogue,Scrooge,Midnight! How can this be? I’m sleeping backwards.
Act 2,Scene 1,description,,[One again]
Act 2,Scene 1,dialogue,Scrooge,"Good heavens! One again! I’m sleeping back and forth!
[A pause. Scrooge looks about.] Nothing! Absolutely nothing!"
Act 2,Scene 1,description,,"[Suddenly, thunder and lightning. Marley laughs and disappears.
The room shakes and glows. There is suddenly springlike music.
Scrooge makes a run for the door.]"
Act 2,Scene 1,dialogue,Marley,Scrooge!
Act 2,Scene 1,dialogue,Scrooge,What?
Act 2,Scene 1,dialogue,Marley,Stay you put!
Act 2,Scene 1,dialogue,Scrooge,Just checking to see if anyone is in here.
Act 2,Scene 1,description,,"[Lights and thunder again: more music. Marley is of a sudden
gone. In his place sits the Ghost of Christmas Present—to be
called in the stage directions of the play, Present—center of room.
Heaped up on the floor, to form a kind of throne, are turkeys, geese,
game, poultry, brawn, great joints of meat, suckling pigs, long
wreaths of sausages, mince-pies, plum puddings, barrels of oysters,
red hot chestnuts, cherry-cheeked apples, juicy oranges, luscious
pears, immense twelfth cakes, and seething bowls of punch, that
make the chamber dim with their delicious steam. Upon this throne
sits Present, glorious to see. He bears a torch, shaped as a Horn of
Plenty. Scrooge hops out of the door, and then peeks back again
into his bedroom. Present calls to Scrooge.]"
Act 2,Scene 1,dialogue,Present,"Ebenezer Scrooge. Come in, come in! Come in and
know me better!"
Act 2,Scene 1,dialogue,Scrooge,Hello. How should I call you?
Act 2,Scene 1,dialogue,Present,I am the Ghost of Christmas Present. Look upon me.
Act 2,Scene 1,description,,"[Present is wearing a simple green robe. The walls around the room
are now covered in greenery, as well. The room seems to be a perfect
grove now: leaves of holly, mistletoe and ivy reflect the stage lights. Suddenly, there is a mighty roar of flame in the fireplace and now
the hearth burns with a lavish, warming fire. There is an ancient
scabbard girdling the Ghost’s middle, but without sword. The
sheath is gone to rust.]"
Act 2,Scene 1,dialogue,Present,You have never seen the like of me before?
Act 2,Scene 1,dialogue,Scrooge,Never.
Act 2,Scene 1,dialogue,Present,"You have never walked forth with younger
members of my family: my elder brothers born on
Christmases past."
Act 2,Scene 1,dialogue,Scrooge,"I don’t think I have. I’m afraid I’ve not. Have you
had many brothers, Spirit?"
Act 2,Scene 1,dialogue,Present,More than eighteen hundred.
Act 2,Scene 1,dialogue,Scrooge,"A tremendous family to provide for! [Present
stands] Spirit, conduct me where you will. I went forth last
night on compulsion, and learnt a lesson which is working
now. Tonight, if you have aught to teach me, let me profit
by it."
Act 2,Scene 1,dialogue,Present,Touch my robe.
Act 2,Scene 1,description,,"[Scrooge walks cautiously to Present and touches his robe. When
he does, lightning flashes, thunder claps, music plays. Blackout]"
Act 2,Scene 2,description,,"[PROLOGUE: Marley stands spotlit, L. He speaks directly to the
audience.]"
Act 2,Scene 2,dialogue,Marley,"My ghostly friend now leads my living partner
through the city’s streets."
Act 2,Scene 2,description,,[Lights up on Scrooge and Present]
Act 2,Scene 2,dialogue,Marley,"See them there and hear the music people make when the
weather is severe, as it is now."
Act 2,Scene 2,description,,"[Winter music. Choral group behind scrim, sings. When the song is
done and the stage is re-set, the lights will fade up on a row of
shops, behind the singers. The choral group will hum the song they
have just completed now and mill about the streets,2 carrying their
dinners to the bakers’ shops and restaurants. They will, perhaps,
sing about being poor at Christmastime, whatever.]"
Act 2,Scene 2,dialogue,Present,"These revelers, Mr. Scrooge, carry their own dinners
to their jobs, where they will work to bake the meals the rich
men and women of this city will eat as their Christmas
dinners. Generous people these . . . to care for the others, so . . ."
Act 2,Scene 2,description,,"[Present walks among the choral group and a sparkling incense3
falls from his torch on to their baskets, as he pulls the covers off of
the baskets. Some of the choral group become angry with each
other.]"
Act 2,Scene 2,dialogue,Man #1,"Hey, you, watch where you’re going."
Act 2,Scene 2,dialogue,Man #2,"Watch it yourself, mate!"
Act 2,Scene 2,description,,"[Present sprinkles them directly, they change.]"
Act 2,Scene 2,dialogue,Man #1,I pray go in ahead of me. It’s Christmas. You be first!
Act 2,Scene 2,dialogue,Man #2,"No, no. I must insist that YOU be first!"
Act 2,Scene 2,dialogue,Man #1,"All right, I shall be, and gratefully so."
Act 2,Scene 2,dialogue,Man #2,"The pleasure is equally mine, for being able to
watch you pass, smiling."
Act 2,Scene 2,dialogue,Man #1,"I would find it a shame to quarrel on Christmas
Day . . ."
Act 2,Scene 2,dialogue,Man #2,As would I.
Act 2,Scene 2,dialogue,Man #1,"Merry Christmas then, friend!"
Act 2,Scene 2,dialogue,Man #2,And a Merry Christmas straight back to you!
Act 2,Scene 2,description,,"[Church bells toll. The choral group enter the buildings: the shops
and restaurants; they exit the stage, shutting their doors closed
behind them. All sound stops. Scrooge and Present are alone
again.]"
Act 2,Scene 2,dialogue,Scrooge,What is it you sprinkle from your torch?
Act 2,Scene 2,dialogue,Present,Kindness.
Act 2,Scene 2,dialogue,Scrooge,"Do you sprinkle your kindness on any particular
people or on all people?"
Act 2,Scene 2,dialogue,Present,"To any person kindly given. And to the very poor
most of all."
Act 2,Scene 2,dialogue,Scrooge,Why to the very poor most?
Act 2,Scene 2,dialogue,Present,"Because the very poor need it most. Touch my
heart . . . here, Mr. Scrooge. We have another journey."
Act 2,Scene 2,description,,"[Scrooge touches the Ghost’s heart and music plays, lights change
color, lightning flashes, thunder claps. A choral group appears on
the street, singing Christmas carols.]"
Act 2,Scene 3,description,,"[Marley stands spotlit in front of a scrim on which is painted the
exterior of Cratchit‘s four-roomed house. There is a flash and a
clap and Marley is gone. The lights shift color again, the scrim
flies away, and we are in the interior of the Cratchit family home. Scrooge is there, with the spirit (Present), watching
Mrs. Cratchit set the table, with the help of Belinda Cratchit
and Peter Cratchit, a baby, pokes a fork into the mashed potatoes
on his highchair’s tray. He also chews on his shirt collar.]"
Act 2,Scene 3,dialogue,Scrooge,"What is this place, Spirit?"
Act 2,Scene 3,dialogue,Present,"This is the home of your employee, Mr. Scrooge.
Don’t you know it?"
Act 2,Scene 3,dialogue,Scrooge,"Do you mean Cratchit, Spirit? Do you mean this is
Cratchit’s home?"
Act 2,Scene 3,dialogue,Present,None other.
Act 2,Scene 3,dialogue,Scrooge,These children are his?
Act 2,Scene 3,dialogue,Present,There are more to come presently.
Act 2,Scene 3,dialogue,Scrooge,On his meager earnings! What foolishness!
Act 2,Scene 3,dialogue,Present,"Foolishness, is it?"
Act 2,Scene 3,dialogue,Scrooge,"Wouldn’t you say so? Fifteen shillings4 a week’s
what he gets!"
Act 2,Scene 3,dialogue,Present,"I would say that he gets the pleasure of his family,
fifteen times a week times the number of hours a day! Wait,
Mr. Scrooge. Wait, listen and watch. You might actually learn
something . . ."
Act 2,Scene 3,dialogue,Mrs. Cratchit,"What has ever got your precious father then?
And your brother, Tiny Tim? And Martha warn’t as late last
Christmas by half an hour!"
Act 2,Scene 3,description,,"[Martha opens the door, speaking to her mother as she does.]"
Act 2,Scene 3,dialogue,Martha,"Here’s Martha, now, Mother! [She Iaughs. The
Cratchit Children squeal with delight.]"
Act 2,Scene 3,dialogue,Belinda,"It’s Martha, Mother! Here’s Martha!"
Act 2,Scene 3,dialogue,Peter,"Marthmama, Marthmama! Hullo!"
Act 2,Scene 3,dialogue,Belinda,"Hurrah! Martha! Martha! There’s such an enormous
goose for us, Martha!"
Act 2,Scene 3,dialogue,Mrs. Cratchit,"Why, bless your heart alive, my dear, how late
you are!"
Act 2,Scene 3,dialogue,Martha,"We’d a great deal of work to finish up last night, and
had to clear away this morning, Mother."
Act 2,Scene 3,dialogue,Mrs. Cratchit,"Well, never mind so long as you are come. Sit
ye down before the fire, my dear, and have a warm, Lord
bless ye!"
Act 2,Scene 3,dialogue,Belinda,"No, no! There’s Father coming. Hide, Martha, hide!"
Act 2,Scene 3,description,,[Martha giggles and hides herself.]
Act 2,Scene 3,dialogue,Martha,Where? Here?
Act 2,Scene 3,dialogue,Peter,"Hide, hide!"
Act 2,Scene 3,dialogue,Belinda,Not there! THERE!
Act 2,Scene 3,description,,"[Martha is hidden. Bob Cratchit enters, carrying Tiny Tim atop
his shoulder. He wears a threadbare and fringeless comforter
hanging down in front of him. Tiny Tim carries small crutches and
his small legs are bound in an iron frame brace.]"
Act 2,Scene 3,dialogue,Bob and Tiny Tim,Merry Christmas.
Act 2,Scene 3,dialogue,Bob,"Merry Christmas my love, Merry Christmas Peter,
Merry Christmas Belinda. Why, where is Martha?"
Act 2,Scene 3,dialogue,Mrs. Cratchit,Not coming.
Act 2,Scene 3,dialogue,Bob,Not coming: Not coming upon Christmas Day?
Act 2,Scene 3,dialogue,Martha,"[Pokes head out] Ohhh, poor Father. Don’t be
disappointed."
Act 2,Scene 3,dialogue,Bob,What’s this?
Act 2,Scene 3,dialogue,Martha,’Tis I!
Act 2,Scene 3,dialogue,Bob,Martha! [They embrace.]
Act 2,Scene 3,dialogue,Tiny Tim,Martha! Martha!
Act 2,Scene 3,dialogue,Martha,Tiny Tim!
Act 2,Scene 3,description,,"[Tiny Tim is placed in Martha’s arms. Belinda and Peter rush
him offstage.]"
Act 2,Scene 3,dialogue,Belinda,"Come, brother! You must come hear the pudding
singing in the copper."
Act 2,Scene 3,dialogue,Tiny Tim,The pudding? What flavor have we?
Act 2,Scene 3,dialogue,Peter,Plum! Plum!
Act 2,Scene 3,dialogue,Tiny Tim,"Oh, Mother! I love plum!"
Act 2,Scene 3,description,,[The children exit the stage giggling.]
Act 2,Scene 3,dialogue,Mrs. Cratchit,And how did little Tim behave?
Act 2,Scene 3,dialogue,Bob,"As good as gold, and even better. Somehow he gets
thoughtful sitting by himself so much, and thinks the
strangest things you ever heard. He told me, coming home,
that he hoped people saw him in the church, because he was
a cripple, and it might be pleasant to them to remember upon
Christmas Day, who made lame beggars walk and blind men
see. [Pauses] He has the oddest ideas sometimes, but he
seems all the while to be growing stronger and more
hearty . . . one would never know. [Hears Tim’s crutch on floor
outside door]"
Act 2,Scene 3,dialogue,Peter,The goose has arrived to be eaten!
Act 2,Scene 3,dialogue,Belinda,"Oh, mama, mama, it’s beautiful."
Act 2,Scene 3,dialogue,Martha,"It’s a perfect goose, Mother!"
Act 2,Scene 3,dialogue,Tiny Tim,"To this Christmas goose, Mother and Father I say
. . . [Yells] Hurrah! Hurrah!"
Act 2,Scene 3,dialogue,Other Children,[Copying Tim] Hurrah! Hurrah!
Act 2,Scene 3,description,,"[The family sits round the table. Bob and Mrs. Cratchit serve the
trimmings, quickly. All sit; all bow heads; all pray.]"
Act 2,Scene 3,dialogue,Bob,"Thank you, dear Lord, for your many gifts . . . our dear
children; our wonderful meal; our love for one another; and
the warmth of our small fire—[Looks up at all] A merry
Christmas to us, my dear. God bless us!"
Act 2,Scene 3,dialogue,All,[Except Tim] Merry Christmas! God bless us!
Act 2,Scene 3,dialogue,Tiny Tim,[In a short silence] God bless us every one.
Act 2,Scene 3,description,,[All freeze. Spotlight on Present and Scrooge]
Act 2,Scene 3,dialogue,Scrooge,"Spirit, tell me if Tiny Tim will live."
